序号,上线时间,版本号,类型,主要功能,负责人,备注,,,,,,,,,,,,,
38,06-09-2025,5.15.0,正式发版,"AW2 支付 支持购买Credits/消息扩容；Deluxe升级用户飞书消息通知；Deluxe用户升级限制；Latipay直连支付；onlypay 支持购买消息；onlypay 支持一次性升级；会员购买页面UI优化；支付渠道数据上报排查；空回复补偿方案；聊天消息支持分页；语音功能；3.1（P0）创建/编辑oc流程（包含普通oc和target oc）支持为角色选择语音；3.6-3.7 (扣費紀錄、新增說明)；創建頁新增oc語音與編輯,語音選擇彈窗 (創作者),語音選擇彈窗兼容baseprompt,語音選擇彈窗 (用戶側)；成本优化；创建OC搜索tag优化；审核后台优化；审核后台总记录优化；收藏特效；iOS新包；审核数据报表；運營後台代碼整理；Tapfiliate postback开发",,,,,,,,,,,,,,,
39,06-09-2025,临时,临时发版,产品负责人；服务端负责人；测试负责人；发版原因：线上bug；预计发版时间：2025/6/9 20:00前；发版内容**：；1. 修复线上低版本客户端查看带有活动 tag 的 oc 会崩溃的问题。修复方案是过滤掉空的 background_color，对所有相关接口生效。；2. 线上低版本过滤掉活动 tag，以避免看到带有活动 tag 的 oc，避免筛选活动 tag。对大部分接口生效，但是部分接口：GetCharactersStream，GetCharactersByIds 暂时过滤不了活动 tag。；测试方案：；1. 对比测试新旧版本，确保在 oc 带有活动 tag 的情况下，app 不会崩溃。；2. 对比测试新旧版本，在大多数情况下，旧版本不会带有活动 tag。,,,,,,,,,,,,,,,
36,06-06-2025,临时,临时发版,发版人：；发版原因：特批需求修复；发版号：release-(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/f85d5c264737cb1f4662ae4d6dfbcded7b8bdac6)；发版内容：；1. 购买页面英文拼写错误修复 徐唯原,,,,,,,,,,,,,,,
37,06-06-2025,临时,临时发版,发版人：；发版原因：特批需求修复；发版号：；发版内容：；1. 修复Premium月付未显示原价；2. 聊天默认token长度修复,,,,,,,,,,,,,,,
33,06-05-2025,临时,临时发版,发版人：；发版原因：运营临时需求；发版号：；发版内容：；修改左下角和/tos页面的公司相关信息,,,,,,,,,,,,,,,
34,06-05-2025,临时,临时发版,产品负责人；服务端负责人；测试负责人；发版原因：线上bug；预计发版时间：2025/6/5 18:00前；发版内容**：修复线上旧 OC 展示活动 tag，出现在活动落地页的 bug,,,,,,,,,,,,,,,
35,06-05-2025,临时,临时发版,预计发版时间：2025/6/5 19:00；线上bug**：；1. 首页签到弹窗自动关闭 & 首页更新弹窗问题；2. 更新2周年徽章图标；3. 解决mobile活动页在部分浏览器上展示了黑线问题；4. 活动tag隐藏following tab；5. 签到动效更新；6. 高订阅等级max ai reply length没生效；7. 24k模型线路配置问题修复；特批优化**：；7. deluxe 倒计时样式优化,,,,,,,,,,,,,,,
31,06-04-2025,临时,临时发版,产品负责人；后端负责人；测试负责人；发版原因：线上bug；预计发版时间：2025/6/4 19:00前；发版内容**：解决线上问题：模型不可用时，未正确展示不可用信号标,,,,,,,,,,,,,,,
32,06-04-2025,临时,临时发版,产品负责人；前端负责人；测试负责人；发版原因：特批；发版内容：；隐藏原本需要隐藏的图片标签（红框内的标签）；📎 图片: img_YgEAtLNSmjnjgPTvuUsStqg~02mu_60acc377-67e0-472a-84f5-ea401af1961g；cc徐唯原,,,,,,,,,,,,,,,
30,05-27-2025,临时,临时发版,产品负责人；后端负责人；测试负责人；发版原因：线上bug；预计发版时间：2025/5/27 19:00前；发版内容**：解决渠道不可用，应该展示灰色信号；(https://applink.feishu.cn/client/message/link/open?token=AmVgS%2FGggQAcaDUtmcTmQBM%3D),,,,,,,,,,,,,,,
29,05-26-2025,临时,临时发版,产品负责人；前端负责人；测试负责人；发版原因：线上bug；预计发版时间：2025/5/26 19:00前；发版内容**：处理线上安卓chrome浏览器mobile端键盘升起时输入框没有升起的问题,,,,,,,,,,,,,,,
27,05-23-2025,临时,临时发版,发版人：；发版原因：特批需求修复；发版号：release-d7e54d9；发版内容：；1. 修复iOS开发者下线，导致订购用户购买extend无效的问题 cc；2. 修复GP包Deluxe年付订阅周期配置错误 cc；3. 默认模型切量 20%到leo上；4. taurus和leo free版本延迟降低的实验推全cc,,,,,,,,,,,,,,,
28,05-23-2025,临时,临时发版,发版人：；发版原因：急急如律令需求；发版号：release-**(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/37133d88e5b79a0df1ae47b365455555181662e2)；发版内容：；ios移动端展示引流banner，链接跳转侧载包wiki，开放国家加拿大；(https://applink.feishu.cn/client/message/link/open?token=AmSKwlXfAkADaDAd2zU6gAM%3D)；徐唯原,,,,,,,,,,,,,,,
26,05-22-2025,临时,临时发版,发版人：；发版原因：线上问题修复；发版号：release-**(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/d92bfc32e309c4972b421d69247f40bb3bbe9d8c)；发版内容：；临时解决ios聊天页卡顿问题；ios聊天页  强制不展示gif动图【使用静态图片】；ios聊天页  setting动图开关隐藏；ios聊天页  暂时移除流式打字机平滑处理；首页gender弹窗；选择gender自动关闭；gender选择与首页性别筛选同步；运营落地页  【这个是在pre上的运营内容顺带捎上去】,,,,,,,,,,,,,,,
25,05-21-2025,临时,临时发版,发版人：；发版原因：特批需求修复；发版号： crushon-sub:release-(https://drone.peekaboo.tech/link/peekaboo/crushon-sub/commit/6e28459a8085246e706d44cdb958acc4d730ecbe)；发版内容：；1. 修复99支付到账错误 cc,,,,,,,,,,,,,,,
24,05-20-2025,临时,临时发版,发版人：；发版原因：运营临时需求；发版号：release-**(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/fd1f78ec9752c0b0b9397ab0e1ac0ea0cbce095e)；发版内容：；修改左下角和/contact页面的公司相关信息；自测没问题,,,,,,,,,,,,,,,
23,05-19-2025,5.14.0,正式发版,Latipay 支付接入 - 会员订阅；Transaction 增加消息购买记录；aw2 支付渠道便捷退款；onlypay 支持购买消息；onlypay 支付失败防抖优化；个人主页增加credits消耗记录；聊天页侧边栏收起效果优化；语音功能demo；OC审核记录优化；官方账号白名单；审核后台优化；审核后台总记录优化；阿拉伯語系重構；代碼重構；更新弹窗遗留问题处理；收藏特效；性能改善 - ios 動圖渲染改善；性能改善 - 聊天流式；运营后台用户数据查询优化；iOS新包；马甲站janitorai.pro修复；Tiktok x Crushon 锚点数据需求；s站查询功能；审核数据报表；Tapfiliate postback开发,,,,,,,,,,,,,,,
20,05-15-2025,5.13.0,正式发版,aw支付页面优化；【两周年】Deluxe会员绝版下架；【两周年】会员购买credits折扣；【两周年】两周年运营活动；【两周年】新档位会员上架；【两周年】新人礼包；会员升级提示优化；【两周年】会员购买credits折扣；過往 modal 走查；【两周年】运营活动tag标识；性向分类——弹窗存储问题；【两周年】徽章 + 指定徽章可见模型功能；聊天问题排查；聊天頁代碼重構；消息质量反馈中添加“角色代替用户回答”的反馈；ultra线路回复隐藏字符问题处理；【两周年】新模型；模型成本优化；新模型问题处理；Character彈窗返回手勢關閉 - 調研 (Mobile)；通知代碼重構；OC场景卡限制展示状态；内容分级改动；Web 多語言流程改動；UserPreference 代碼整理；ui走查；阿拉伯語系重構；代碼重構 - App相关；翻译优化；收藏特效,,,,,,,,,,,,,,,
21,05-15-2025,临时,临时发版,发版人：；发版原因：修复线上bug；发版号：release-**(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/a3dbb6118ea4b7d116e425b88db13c00a11edc21)；发版内容：；回滚支付页多语言构建；cc 徐唯原,,,,,,,,,,,,,,,
22,05-15-2025,临时,临时发版,发版人：；发版原因：急急如律令需求；发版号：crushon-sub:release-56cbc18；发版内容：；1. aw2 支付上线,,,,,,,,,,,,,,,
18,05-14-2025,临时,临时发版,前端负责人：；产品负责人：；测试负责人：；发版原因：线上bug修复；发版内容：修复后台OC审核中OC头像为动图时无法展示问题,,,,,,,,,,,,,,,
19,05-14-2025,临时,临时发版,"预计发版时间：2025/5/14-20：00；前端负责人：；客户端负责人：；产品负责人：；测试负责人：；发版原因：特批；发版内容：性向分类需求；Web；1. **取消红点提醒；2. **取消强制填写个人资料页POV功能；3. **新手首页引导弹窗暂时取消，只保留原来Gender的问题。；4. **二确弹窗Yes/No的结果,以及POV选项结果，二确弹窗是否勾选Don ask again的结果都需要保存至用户账户。",,,,,,,,,,,,,,,
17,05-09-2025,5.12.0,正式发版,Airwallex 支付- 会员普通升级；Latipay 支付调研；G2A 兑换码支持会员延期 代码优化；payssion 支付，审核用独立站开发；支付成功邮件标题区分包名下发正确名称；OnlyPay 支付信用卡直连接入 技术调研；首次订阅折扣 - paypal支付；free trial 领取说明加｛i｝说明advance model 列表；pc端聊天页侧边栏样式修改；客户端遗留的部分html样式支持问题处理；默认模型切量到leo上实验；线路错误新增友好提示；memory 点表情交互调整；个人主页增加credits消耗记录；聊天頁代碼重構；灵感回复功能；调整 二三级开关展示；角色詳情彈窗點擊 Tag 返回定位；角色详情页弹窗comment卡片点击reply跳转Comment；创建OC Tag相关优化 - Tag 历史记录；个人空间页角色卡片增加互动；个人页筛选排序-2；Block User 优化；数据库问题跟进【临时需求】；收藏特效；ui走查；iOS新包；(http://gptdan.ai/)马甲站改版；馬甲站增加監控；搜索页筛选优化,,,,,,,,,,,,,,,
16,04-30-2025,临时,临时发版,服务端负责人：；产品负责人：；测试负责人：；发版原因：运营临时需求；发版的内容：**下掉crushon event的banner,,,,,,,,,,,,,,,
15,04-28-2025,临时,临时发版,发版人：**徐唯原；发版原因：线上bug修复；发版号：release-f9d2366；发版内容：；修復部分瀏覽器，走了不預期的 ws 連線,,,,,,,,,,,,,,,
13,04-25-2025,5.11.0,正式发版,Airwallex 独立站；AirWallex 支付 - 订阅；G2A 兑换码支持会员延期；OnlyPay 支付开放月付购买；渠道订阅按钮逻辑优化；首次订阅折扣；新人礼包；首页tag 分性向和性别；oc只有greeting的时候，聊天页默认定位到顶部；target 进度条增加动画；翻译成本优化；客户端html样式问题处理；聊天输入框交互优化；流式动画平滑处理；修复多分支场景下的rewind功能；修复新建会话时角色卡/场景卡保留失效的问题；claude 截断优化；模型配置优化；新模型接入；memory看过的沉底；memory详情页上下样式调整；个人空间页角色卡片增加互动；通知事件重构；OC模块化审核；内容分级改动；审核后台优化；运营后台增加埋点；Badge UI 样式所有渠道包统一；follow按钮颜色统一；ios新包云控重构,,,,,,,,,,,,,,,
14,04-25-2025,临时,临时发版,"发版人：；发版原因：**运营临时需求；发版号：release-**(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/7b6b77759852a7a6b0e010f1bb2162a8908458e0)；发版内容：**(https://applink.feishu.cn/client/message/link/open?token=AmSKwlXfAkADaAts7jTAQAQ%3D)；首页（之前两个都去掉）；📎 图片: img_YgEAtPg2itpMAPSlZ82lHdY~02lm_0bc54ef7-4932-4fe4-9cb4-19d7b1852bdg；(https://crushon.ai/terms-of-service) （首段结尾修改为：The Service is provided by Peekaboo Game Limited, a company registered in HONG KONG ('Crushon' or 'We')；(https://crushon.ai/contact)  （底部）；新的公司和地址（之前两个都去掉）：；Peekaboo Game Limited；FLAT/RM A29 24/F REGENT'S PARK PRINCE INDUSTRIAL BLDG NO.706 PRINCE EDWARD RD EAST KL HONG KONG；<u>文案修改无需测试</u>",,,,,,,,,,,,,,,
12,04-24-2025,临时,临时发版,发版人：；发版原因：线上bug修复；发版号：release-**(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/a1c4137384cca8501cee23ef0adbef9a79f11cc1)；发版内容：；修复保存新信息memory问题,,,,,,,,,,,,,,,
11,04-23-2025,临时,临时发版,发版人：；产品负责人：；发版原因：**线上紧急 bug；发版内容：；修复iOS包订阅用户无法访问二三级内容问题,,,,,,,,,,,,,,,
10,04-22-2025,临时,临时发版,发版人：；修改原因：模型相关优化，跟主版本分开降低测试成本；发版号：；ai-chat: main-1d24f09；crushon-backend: release-a98b934；修改内容：；Free Fast 3.7 Sonnet 优化 continue 后内容不连续的问题；模型推理超时时，输出不足10字节则报错，不扣费；自测 CC,,,,,,,,,,,,,,,
9,04-18-2025,5.10.0,正式发版,Airwallex2 独立站跑通支付-会员订阅；Airwallex 支付- 订阅；CITCON支付调研；G2A 兑换码支持兑换消息，并正确弹窗提示；非续订状态购买会员，可延长会员有效期；购买消息可选择支付渠道；支付回调添加 log id，交付技术方案和使用说明；JollyChatter 市场包增加提现入口firebase控制；会员购买页面deluxe增加说明；会员体验 - 支持下发会员体验资格，配置会员等级+时长；邮箱注册流程增加数据监控；订阅页增加当前等级高阶模型的使用限制&用量展示；聊天输入框交互优化；5个新模型问题处理；claude效果优化；搜索排行榜-OC数量增加至20个；服务端埋点增加OC评论点赞；创建OC Tag相关优化 - Tag 历史记录；创建弹窗UI样式优化，增加配图；OC模块化审核 - 已过人审OC被修改时，只对修改模块进行机审；垃圾评论处理；真人图片审核流程优化；UI调整 - Darkmode字体颜色等修改；app UI屏幕适配 - 使分辨率不同的设备文字/icon显示大小一致；收藏特效 - 对OC/Memories/Models收藏加特效；性能监控 - 监测用户使用我们APP的耗电量趋势；OC审核数据报表；运营后台移动端适配；JollyChatter ios 技术修复再次提审,,,,,,,,,,,,,,,
8,04-16-2025,临时,临时发版,发版人：**徐唯原；发版原因：线上主流程 bug；发版号：release-514d3f6；发版内容：；修復線上選擇模型 mobile，無權限可看到 mine 入口；(https://applink.feishu.cn/client/message/link/open?token=AmY4fafE40ABZ%2F%2B2vRABABM%3D)；測試狀態：；已在 pre，等待測試驗證、發版,,,,,,,,,,,,,,,
7,04-15-2025,临时,临时发版,发版人：；产品负责人：；发版原因：线上紧急 bug；服务端版本：**sub服务，release-7b0c5d5；发版内容：**gp购买消息时，获取gp的detail，detail中的productId为空，造成无法给用户增加消息数据。已服务端修复；测试状态：**已pre验证，申请prod上线 服务上线后需验证线上是否修复,,,,,,,,,,,,,,,
6,04-11-2025,临时,临时发版,发版人：**徐唯原；发版原因：特批；发版号：release-e0cc8e7；发版内容：；靜態 mantenance 頁面；(https://applink.feishu.cn/client/message/link/open?token=AmS32BKWwgAEZ%2Fi4BCFHgAE%3D)；测试状态：；無影響主站，無需測試，自測靜態頁面,,,,,,,,,,,,,,,
5,04-07-2025,临时,临时发版,发版人：；发版原因：**运营临时需求；发版号：release-**(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/71e698cb05a5854717924a3709fb3329af285347)；发版内容：；SEO需求：更新官网Janitorai相关的SEO子页面  (https://crushon.ai/janitorai)；测试状态：测试服，pre，pro都自测没有问题，目前不需要测试介入,,,,,,,,,,,,,,,
3,04-03-2025,临时,临时发版,版本：；crushon-backend:release-804c80d；内容：；(https://discord.com/channels/1113353675927212074/1356706629919441119)；1. character 消息数量 刷新问题。；无需验证，代码回退。,,,,,,,,,,,,,,,
4,04-03-2025,临时,临时发版,发版人：；发版原因：**运营临时需求；发版号：release-**(https://drone.peekaboo.tech/link/peekaboo/onlychat/commit/acbb6acf6ffced5441288b3ce01dbbaa8d04f86b)；发版内容：；SEO需求：官网部署Janitorai相关的SEO子页面  (https://crushon.ai/janitorai)；需求文档：(https://wh9a7emh1y.feishu.cn/wiki/JTUqw9wRZiqJrwkcOCPcG92fnqe)；测试状态：测试服，pre，pro都自测没有问题，目前不需要测试介入,,,,,,,,,,,,,,,
2,03-28-2025,5.8.0,正式发版,99支付付款优化；G2A购买消息；GP/iOS 订阅支持Pre环境验收测试；订阅通知邮件优化；非续订状态购买会员，可延长会员有效期；根据订单ID反查用户；创作者收益邮件优化；最近聊天记录增加上限；base prompt 优化 - 2. 模型页增加搜索功能；oc只有greeting的时候，聊天页默认定位到顶部；聊天頁代碼重構；模型支持<=5分钟的限速(现在1分钟就会断联)；调整模型计费逻辑，处理sonnet模型用量大、高消耗的问题；消息质量反馈中添加“角色代替用户回答”的反馈；Block tag新增两个入口-其中一个入口；memory看过的沉底；memory详情页双击收回左右侧边栏；claude 3.7 sonnet 系列微调数据集收集；Gemini 模型接入；Mochi 模型接入；Character弹窗底图显示场景卡；角色详情页弹窗添加分享，修改按钮+分享弹窗优化；角色详情页评论输入框改动；OC name限制优化；技术优化-调整模型搜索；通知过滤优化；通知后台数据优化-14天内活跃用户发送通知；通知后台数据优化-所有通知信息保留三个月；Block User 优化 - 通知；memory举报优化,,,,,,,,,,,,,,,
1,03-12-2025,5.7.0,正式发版,单独急急如律令发版；Op自动退款处理；正常跟版；订阅邮件区分不同渠道；Transaction 页面显示 coin 货币变动；不发版；op支持订阅技术调研；有时间就做；Aw 独立站跑通支付；Block tag新增两个入口；base prompt的字数放开；图像上传优化；memory详情页样式调整；点击角色卡跳转角色详情弹窗；oc 的introduction 支持 html；target setting-周五 showcase；Block User 优化；后台OC审核区分来源；后台user信息审核优化；垃圾评论处理-5；垃圾评论处理-6；垃圾评论处理-7；垃圾评论处理-8；聊天内容审核；数据库优化；验证多语言是否更新；运营后台技术优化；新网页；马甲站锚文本修改；新版本输入框的滚动问题,,,,,,,,,,,,,,,
